Business Date,Sedol,ISIN,FIGI,Ticker,BBGID,Name,Offer Rate,Bid Rate,Last Rate,Short Momentum,Short Interest,ShortInterestNotional,ShortInterestPct,S3Float,S3SIPctFloat,IndicativeAvailability,S3Utilization,DaysToCover10Day,DaysToCover30Day,DaysToCover90Day,Crowded Score,Squeeze Score,Original SI
1/19/21,BMF9NM8,US00827B1061,BBG00Y7BP8Y1,AFRM,AFRM US,AFFIRM HLDGS INC,9.58,7.17,12.69,,417122,48803274,0.0045,94086538,0.0044,2.25E+07,,0.0230334039079512,0.0230334039079512,0.0230334039079512,17.5,17.5,417122
1/20/21,BMF9NM8,US00827B1061,BBG00Y7BP8Y1,AFRM,AFRM US,AFFIRM HLDGS INC,9.58,7.16,13.33,,576552.2,63991528.68,0.0062,94245968.2,0.0061,2.81E+06,,0.0400152634171384,0.0400152634171384,0.0400152634171384,17.5,17.5,165974
1/21/21,BMF9NM8,US00827B1061,BBG00Y7BP8Y1,AFRM,AFRM US,AFFIRM HLDGS INC,6.08,4.66,7.73,,850877.1,90371656.79,0.011,78062940.1,0.0109,3.07E+06,21.7732,0.0678263782919775,0.0678263782919775,0.0678263782919775,17.5,7.5,66205
1/22/21,BMF9NM8,US00827B1061,BBG00Y7BP8Y1,AFRM,AFRM US,AFFIRM HLDGS INC,5.58,4.26,5.3,,940545.9,102491286.72,0.0123,77462754.9,0.0121,3.36E+06,21.9366,0.0875470024410506,0.0875470024410506,0.0875470024410506,20,20,64098
1/25/21,BMF9NM8,US00827B1061,BBG00Y7BP8Y1,AFRM,AFRM US,AFFIRM HLDGS INC,4.58,3.5,4.48,,1200858.2,144042941.09,0.0157,77723067.2,0.0155,3.09E+06,28.0285,0.12217430420843,0.12217430420843,0.12217430420843,17.5,47.5,241860
1/26/21,BMF9NM8,US00827B1061,BBG00Y7BP8Y1,AFRM,AFRM US,AFFIRM HLDGS INC,4.58,3.51,1.21,,1337013.8,150681455.26,0.0175,77859222.8,0.0172,3.55E+06,27.4044,0.149672464726303,0.149672464726303,0.149672464726303,17.5,17.5,118058
1/27/21,BMF9NM8,US00827B1061,BBG00Y7BP8Y1,AFRM,AFRM US,AFFIRM HLDGS INC,4.33,3.27,3.08,,1396027.1,153674663.17,0.0182,77918236.1,0.0179,4.15E+06,25.2077,0.172702403659042,0.172702403659042,0.172702403659042,17.5,17.5,61989
1/28/21,BMF9NM8,US00827B1061,BBG00Y7BP8Y1,AFRM,AFRM US,AFFIRM HLDGS INC,4.58,3.52,2.81,1.15,1518765,159910766.85,0.0198,78040974,0.0195,4.28E+06,26.2092,0.202474733402568,0.202474733402568,0.202474733402568,17.5,0,28433
1/29/21,BMF9NM8,US00827B1061,BBG00Y7BP8Y1,AFRM,AFRM US,AFFIRM HLDGS INC,3.57,2.55,2.81,-4.41,1628903.1,161945546.2,0.0213,78151112.1,0.0208,4.62E+06,26.0585,0.313561021565195,0.232376079047375,0.232376079047375,17.5,0,26702
2/1/21,BMF9NM8,US00827B1061,BBG00Y7BP8Y1,AFRM,AFRM US,AFFIRM HLDGS INC,3.32,2.38,3.1,-1.4,1689099,168217369.41,0.0221,78211308,0.0216,4.65E+06,26.6767,0.512995737738176,0.256754536224968,0.256754536224968,17.5,0,26402
2/2/21,BMF9NM8,US00827B1061,BBG00Y7BP8Y1,AFRM,AFRM US,AFFIRM HLDGS INC,3.57,2.54,3.37,1.51,1731657.9,186343706.62,0.0226,78253866.9,0.0221,5.29E+06,24.671,0.669070916595734,0.28065822818456,0.28065822818456,17.5,7.5,26107
2/3/21,BMF9NM8,US00827B1061,BBG00Y7BP8Y1,AFRM,AFRM US,AFFIRM HLDGS INC,2.82,1.88,2.88,-4.2,1810946.9,204636999.7,0.0237,78333155.9,0.0231,5.05E+06,26.5186,0.740606939252909,0.308864272258791,0.308864272258791,17.5,17.5,30484
2/4/21,BMF9NM8,US00827B1061,BBG00Y7BP8Y1,AFRM,AFRM US,AFFIRM HLDGS INC,2.83,1.79,2.92,0.07,1865336.9,206959129.06,0.0244,78387545.9,0.0238,5.16E+06,26.5595,0.896260123147442,0.334941642695281,0.334941642695281,17.5,17.5,24914
2/5/21,BMF9NM8,US00827B1061,BBG00Y7BP8Y1,AFRM,AFRM US,AFFIRM HLDGS INC,3.08,2.06,3.46,1.77,1929563.1,209878578.39,0.0252,78451772.1,0.0246,5.32E+06,26.6341,0.928880325422423,0.362219141515207,0.362219141515207,20,20,24063
2/8/21,BMF9NM8,US00827B1061,BBG00Y7BP8Y1,AFRM,AFRM US,AFFIRM HLDGS INC,2.83,1.9,2.89,-1.62,2040322.6,211071372.97,0.0275,76368954.6,0.0267,5.80E+06,26.0567,1.05378603158895,0.393414549023464,0.393414549023464,17.5,7.5,23826
2/9/21,BMF9NM8,US00827B1061,BBG00Y7BP8Y1,AFRM,AFRM US,AFFIRM HLDGS INC,1.7,1.07,4.44,-7.99,2189107,268734775.32,0.0261,86049493,0.0254,5.39E+06,28.9046,1.0874940324881,0.430205472519978,0.430205472519978,17.5,47.5,77328
2/10/21,BMF9NM8,US00827B1061,BBG00Y7BP8Y1,AFRM,AFRM US,AFFIRM HLDGS INC,2.57,1.67,2.42,10.24,2359784.3,309131743.3,0.0281,86220170.3,0.0274,5.37E+06,30.5407,1.030506343652,0.468749116049053,0.468749116049053,20,60,1378780
2/11/21,BMF9NM8,US00827B1061,BBG00Y7BP8Y1,AFRM,AFRM US,AFFIRM HLDGS INC,2.57,1.76,2.6,0,2466105.1,335957497.77,0.0294,86326491.1,0.0286,5.06E+06,32.8412,1.07254743515083,0.503271040720565,0.503271040720565,20,60,1462223
2/12/21,BMF9NM8,US00827B1061,BBG00Y7BP8Y1,AFRM,AFRM US,AFFIRM HLDGS INC,2.07,1.35,2.1,-3.89,2563429.9,358854551.7,0.0306,86423815.9,0.0297,5.10E+06,33.5257,1.10582564101679,0.53677100222399,0.53677100222399,20,60,1472078
2/16/21,BMF9NM8,US00827B1061,BBG00Y7BP8Y1,AFRM,AFRM US,AFFIRM HLDGS INC,1.82,1.13,1.67,-2.42,2585350,325469711.5,0.0308,86445736,0.0299,4.80E+06,35.0022,0.984957900178792,0.540702822693142,0.540702822693142,20,50,1504189
2/17/21,BMF9NM8,US00827B1061,BBG00Y7BP8Y1,AFRM,AFRM US,AFFIRM HLDGS INC,2.07,1.31,1.93,2.75,3027971,360782744.65,0.0361,86888357,0.0348,5.24E+06,36.6279,0.988737815763204,0.628354585465654,0.628354585465654,25,25,1469823
2/18/21,BMF9NM8,US00827B1061,BBG00Y7BP8Y1,AFRM,AFRM US,AFFIRM HLDGS INC,2.32,1.49,2.01,2.42,3253106.9,366072119.46,0.0363,92950676.9,0.035,4.93E+06,40.1768,1.03156193575923,0.687148112200227,0.687148112200227,25,5,1532626
2/19/21,BMF9NM8,US00827B1061,BBG00Y7BP8Y1,AFRM,AFRM US,AFFIRM HLDGS INC,2.32,1.57,5.39,0,3524173,371976460.15,0.0393,93221743,0.0378,5.63E+06,38.5534,1.04657909569789,0.751677006339457,0.751677006339457,25,0,1409238
2/22/21,BMF9NM8,US00827B1061,BBG00Y7BP8Y1,AFRM,AFRM US,AFFIRM HLDGS INC,2.32,1.58,2.84,0,3756639.4,398166210.01,0.0419,93454209.4,0.0402,5.68E+06,39.8273,1.07481984953938,0.812690393215925,0.812690393215925,25,0,1387349
2/23/21,BMF9NM8,US00827B1061,BBG00Y7BP8Y1,AFRM,AFRM US,AFFIRM HLDGS INC,1.82,1.07,1.61,-4.31,3985748.9,417826057.19,0.0444,93683318.9,0.0425,5.82E+06,40.6647,1.13961047798606,0.873926494774857,0.873926494774857,25,0,1359211
2/24/21,BMF9NM8,US00827B1061,BBG00Y7BP8Y1,AFRM,AFRM US,AFFIRM HLDGS INC,1.82,1.14,1.7,0,4311091.3,439774423.51,0.0481,94008661.3,0.0459,5.85E+06,42.4145,1.20921918239328,0.948645771376149,0.948645771376149,25,0,1357142
2/25/21,BMF9NM8,US00827B1061,BBG00Y7BP8Y1,AFRM,AFRM US,AFFIRM HLDGS INC,1.82,1.09,1.44,0,4475711.3,458715651.14,0.0499,94173281.3,0.0475,5.08E+06,46.8884,1.33646647838672,1.00508284496315,1.00508284496315,27.5,0,2564171
2/26/21,BMF9NM8,US00827B1061,BBG00Y7BP8Y1,AFRM,AFRM US,AFFIRM HLDGS INC,1.82,1.12,1.45,0,4909221.9,462424156.87,0.0547,94606791.9,0.0519,5.25E+06,48.3917,1.34101957679892,1.09408917682926,1.09408917682926,32.5,0,2577846
3/1/21,BMF9NM8,US00827B1061,BBG00Y7BP8Y1,AFRM,AFRM US,AFFIRM HLDGS INC,1.7,1.01,1.59,-1.32,4908705,456804087.3,0.0547,94606275,0.0519,4.92E+06,50.0207,1.32957694214137,1.31425729558376,1.10904569344035,32.5,0,2680707
3/2/21,BMF9NM8,US00827B1061,BBG00Y7BP8Y1,AFRM,AFRM US,AFFIRM HLDGS INC,1.7,1.02,1.48,0,5041307.5,460977157.8,0.0562,94738877.5,0.0532,4.84E+06,51.0954,1.44292466223139,1.60700225814513,1.15122762339318,32.5,2.5,2712110
3/3/21,BMF9NM8,US00827B1061,BBG00Y7BP8Y1,AFRM,AFRM US,AFFIRM HLDGS INC,1.7,1.01,1.47,0,5203362.1,477668640.78,0.058,94900932.1,0.0548,5.07E+06,50.7191,1.57537764954146,1.74345315738067,1.19356636115818,32.5,2.5,2655001
