day,date,Synthetic_Short_Interest_Pct,News_Sentiment_Index,Retail_Hype_Index,Price_Action_Volatility
0,2022-01-01,14.18,0.0254,0.0949,0.1076
1,2022-01-02,14.42,0.0973,0.0943,0.1042
2,2022-01-03,16.03,0.008,0.0307,0.0715
3,2022-01-04,15.96,0.0774,0.0784,0.1015
4,2022-01-05,15.38,0.0078,0.0282,0.0403
5,2022-01-06,14.6,0.0366,0.038,0.0444
6,2022-01-07,16.17,0.0529,0.0344,0.0464
7,2022-01-08,15.06,0.0378,0.0125,0.1124
8,2022-01-09,14.48,0.0726,0.0711,0.0875
9,2022-01-10,15.49,0.0647,0.0358,0.0829
10,2022-01-11,14.65,0.0003,0.0032,0.0506
11,2022-01-12,14.58,0.0503,0.0858,0.1127
12,2022-01-13,15.71,0.0052,0.0131,0.0809
13,2022-01-14,15.37,0.0201,0.0609,0.0792
14,2022-01-15,16.49,0.0731,0.0942,0.1666
15,2022-01-16,14.81,0.0729,0.013,0.0773
16,2022-01-17,14.89,0.0854,0.0489,0.1307
17,2022-01-18,16.27,0.056,0.0034,0.052
18,2022-01-19,16.81,0.0667,0.0956,0.0785
19,2022-01-20,15.5,0.0752,0.0645,0.064
20,2022-01-21,16.6,0.0779,0.0543,0.1068
21,2022-01-22,16.19,0.0556,0.0154,0.0862
22,2022-01-23,16.21,0.0088,0.0928,0.0472
23,2022-01-24,16.8,0.0368,0.0867,0.0585
24,2022-01-25,16.73,0.0859,0.0276,0.0567
25,2022-01-26,17.05,0.0715,0.0117,0.0347
26,2022-01-27,15.61,0.0463,0.0641,0.0505
27,2022-01-28,16.55,0.0987,0.0955,0.0851
28,2022-01-29,16.49,0.0269,0.0017,0.0265
29,2022-01-30,15.85,0.0422,0.0282,0.0835
30,2022-01-31,17.06,0.0695,0.0141,0.1082
31,2022-02-01,17.03,0.0429,0.0129,0.1104
32,2022-02-02,15.85,0.0082,0.0691,0.0538
33,2022-02-03,15.91,0.0411,0.0847,0.0944
34,2022-02-04,16.58,0.0972,0.0912,0.0868
35,2022-02-05,16.71,0.0502,0.0223,0.119
36,2022-02-06,17.65,0.0858,0.0692,0.0735
37,2022-02-07,16.33,0.0851,0.089,0.0824
38,2022-02-08,16.93,0.0064,0.0169,0.0693
39,2022-02-09,17.03,0.0389,0.0795,0.0892
40,2022-02-10,17.43,0.0664,0.0628,0.0596
41,2022-02-11,16.25,0.0343,0.0093,0.0685
42,2022-02-12,17.84,0.0001,0.0287,0.0744
43,2022-02-13,16.24,0.0608,0.0727,0.104
44,2022-02-14,16.38,0.0746,0.0651,0.0912
45,2022-02-15,16.88,0.0077,0.0727,0.0494
46,2022-02-16,17.73,0.0749,0.0748,0.0822
47,2022-02-17,17.83,0.0078,0.0576,0.1015
48,2022-02-18,17.15,0.0227,0.0108,0.0771
49,2022-02-19,16.82,0.0657,0.048,0.0786
50,2022-02-20,16.79,0.083,0.0587,0.0944
51,2022-02-21,16.45,0.0752,0.0162,0.1272
52,2022-02-22,18.24,0.098,0.0476,0.1511
53,2022-02-23,17.06,0.0502,0.0965,0.1061
54,2022-02-24,18.48,0.0194,0.0392,0.0824
55,2022-02-25,18.57,0.0841,0.0279,0.1302
56,2022-02-26,17.2,0.0885,0.0023,0.1117
57,2022-02-27,16.98,0.0035,0.0409,0.0396
58,2022-02-28,18.6,0.0165,0.0579,0.035
59,2022-03-01,17.43,0.0721,0.0177,0.0771
60,2022-03-02,18.52,0.0471,0.0518,0.0872
61,2022-03-03,18.83,0.0867,0.0139,0.0409
62,2022-03-04,17.84,0.0067,0.0263,0.0702
63,2022-03-05,18.69,0.0563,0.0769,0.0721
64,2022-03-06,18.03,0.0519,0.031,0.0388
65,2022-03-07,18.04,0.0692,0.0012,0.1137
66,2022-03-08,17.28,0.0102,0.0972,0.0506
67,2022-03-09,17.26,0.0253,0.0749,0.0647
68,2022-03-10,19.1,0.0872,0.0221,0.0817
69,2022-03-11,17.57,0.0219,0.0776,0.0664
70,2022-03-12,18.98,0.0625,0.0649,0.1316
71,2022-03-13,18.44,0.052,0.0956,0.1409
72,2022-03-14,18.76,0.0431,0.0636,0.0513
73,2022-03-15,18.18,0.074,0.0392,0.082
74,2022-03-16,18.06,0.0668,0.0597,0.125
75,2022-03-17,18.64,0.0869,0.0969,0.1235
76,2022-03-18,18.99,0.0175,0.0088,0.0733
77,2022-03-19,19.16,0.049,0.0385,0.0429
78,2022-03-20,17.8,0.037,0.0065,0.027
79,2022-03-21,18.21,0.0157,0.0586,0.0747
80,2022-03-22,18.23,0.0968,0.0417,0.0984
81,2022-03-23,19.72,0.0016,0.0689,0.0521
82,2022-03-24,18.01,0.0317,0.0055,0.035
83,2022-03-25,19.79,0.0524,0.0367,0.0482
84,2022-03-26,18.28,0.0196,0.0592,0.0481
85,2022-03-27,18.16,0.0806,0.0996,0.147
86,2022-03-28,18.69,0.0021,0.0429,0.0375
87,2022-03-29,18.56,0.0997,0.0711,0.1039
88,2022-03-30,18.3,0.0035,0.058,0.0809
89,2022-03-31,18.45,0.0652,0.0459,0.1214
90,2022-04-01,18.62,0.0342,0.0148,0.0486
91,2022-04-02,20.01,0.0581,0.0942,0.0849
92,2022-04-03,19.32,0.0058,0.0184,0.0301
93,2022-04-04,18.4,0.0365,0.0025,0.0753
94,2022-04-05,20.19,0.0736,0.0502,0.0739
95,2022-04-06,18.61,0.0162,0.0674,0.1324
96,2022-04-07,18.6,0.0506,0.0451,0.1168
97,2022-04-08,18.88,0.0903,0.0362,0.0925
98,2022-04-09,20.03,0.0296,0.0096,0.0262
99,2022-04-10,19.11,0.0203,0.067,0.1324
100,2022-04-11,19.73,0.099,0.0679,0.1101
101,2022-04-12,20.62,0.0578,0.015,0.1183
102,2022-04-13,19.49,0.0402,0.0072,0.0217
103,2022-04-14,19.52,0.0806,0.0176,0.079
104,2022-04-15,20.33,0.0925,0.0213,0.1396
105,2022-04-16,19.6,0.056,0.0919,0.0748
106,2022-04-17,20.58,0.0148,0.0685,0.0549
107,2022-04-18,20.67,0.0274,0.0654,0.1083
108,2022-04-19,20.61,0.0077,0.0542,0.0505
109,2022-04-20,21.09,0.0673,0.001,0.0639
110,2022-04-21,21.02,0.0585,0.0401,0.1179
111,2022-04-22,20.13,0.0085,0.081,0.0527
112,2022-04-23,20.21,0.0797,0.0981,0.1423
113,2022-04-24,20.15,0.0214,0.0267,0.0878
114,2022-04-25,20.36,0.0638,0.0851,0.0738
115,2022-04-26,20.67,0.0447,0.0726,0.0827
116,2022-04-27,21.1,0.0744,0.0062,0.123
117,2022-04-28,20.71,0.0712,0.0409,0.1339
118,2022-04-29,20.04,0.0817,0.0626,0.1017
119,2022-04-30,20.15,0.0217,0.0621,0.097
