day,date,Synthetic_Short_Interest_Pct,News_Sentiment_Index,Retail_Hype_Index,Price_Action_Volatility
0,2022-01-01,14.54,0.0585,0.0367,0.1185
1,2022-01-02,14.6,0.0398,0.048,0.1197
2,2022-01-03,14.92,0.0346,0.0747,0.0955
3,2022-01-04,14.23,0.019,0.0465,0.071
4,2022-01-05,15.99,0.0255,0.0063,0.0154
5,2022-01-06,15.98,0.0493,0.0587,0.0529
6,2022-01-07,14.4,0.0118,0.0742,0.0824
7,2022-01-08,14.37,0.0596,0.0016,0.1166
8,2022-01-09,16.19,0.0147,0.0561,0.128
9,2022-01-10,16.3,0.0213,0.0699,0.0755
10,2022-01-11,15.48,0.0614,0.0976,0.1091
11,2022-01-12,15.33,0.0702,0.0615,0.1096
12,2022-01-13,16.37,0.029,0.0256,0.0219
13,2022-01-14,14.77,0.0887,0.0248,0.0956
14,2022-01-15,14.95,0.0638,0.0647,0.1194
15,2022-01-16,16.47,0.0994,0.0498,0.1426
16,2022-01-17,15.39,0.0572,0.0961,0.1545
17,2022-01-18,16.67,0.0318,0.0631,0.1103
18,2022-01-19,15.0,0.0972,0.0786,0.0793
19,2022-01-20,15.68,0.0014,0.0398,0.0343
20,2022-01-21,16.27,0.0926,0.0599,0.0707
21,2022-01-22,15.85,0.0249,0.0399,0.0928
22,2022-01-23,15.46,0.0282,0.0997,0.0834
23,2022-01-24,16.08,0.065,0.088,0.141
24,2022-01-25,16.22,0.003,0.0422,0.1174
25,2022-01-26,17.19,0.0036,0.06,0.0805
26,2022-01-27,15.38,0.062,0.0259,0.0467
27,2022-01-28,15.51,0.0305,0.0713,0.114
28,2022-01-29,16.95,0.0321,0.0901,0.0885
29,2022-01-30,17.25,0.0764,0.0483,0.1367
30,2022-01-31,15.93,0.023,0.0443,0.1151
31,2022-02-01,16.02,0.0176,0.0503,0.0691
32,2022-02-02,17.09,0.0977,0.0695,0.1508
33,2022-02-03,16.5,0.0857,0.0983,0.1305
34,2022-02-04,16.2,0.0498,0.0924,0.1418
35,2022-02-05,17.67,0.0931,0.0166,0.1279
36,2022-02-06,16.33,0.0268,0.0266,0.074
37,2022-02-07,16.86,0.0567,0.0204,0.033
38,2022-02-08,17.63,0.0997,0.0143,0.1119
39,2022-02-09,16.58,0.0807,0.0586,0.1049
40,2022-02-10,16.61,0.0898,0.008,0.0745
41,2022-02-11,17.67,0.0974,0.0215,0.0766
42,2022-02-12,17.92,0.0989,0.0502,0.1063
43,2022-02-13,16.56,0.0083,0.058,0.0396
44,2022-02-14,17.96,0.0678,0.0157,0.1028
45,2022-02-15,16.26,0.0137,0.0966,0.1038
46,2022-02-16,17.8,0.0081,0.0772,0.0562
47,2022-02-17,16.91,0.0522,0.0441,0.1155
48,2022-02-18,17.83,0.0648,0.0797,0.0934
49,2022-02-19,16.56,0.0986,0.0439,0.106
50,2022-02-20,18.26,0.0427,0.0445,0.1137
51,2022-02-21,18.48,0.027,0.0947,0.0701
52,2022-02-22,18.45,0.0966,0.0774,0.1578
53,2022-02-23,17.96,0.0687,0.0033,0.0746
54,2022-02-24,17.68,0.0496,0.0459,0.0664
55,2022-02-25,18.34,0.0194,0.07,0.0404
56,2022-02-26,18.6,0.0466,0.0309,0.1225
57,2022-02-27,17.65,0.051,0.0855,0.1041
58,2022-02-28,18.35,0.0884,0.0041,0.0412
59,2022-03-01,18.58,0.0077,0.0435,0.0316
60,2022-03-02,18.85,0.0684,0.0176,0.0465
61,2022-03-03,17.31,0.062,0.0401,0.1036
62,2022-03-04,18.89,0.016,0.0395,0.1219
63,2022-03-05,17.22,0.0905,0.048,0.1157
64,2022-03-06,18.49,0.066,0.0924,0.1168
65,2022-03-07,18.36,0.052,0.0884,0.1006
66,2022-03-08,18.89,0.0887,0.0529,0.1062
67,2022-03-09,18.57,0.0421,0.0402,0.1077
68,2022-03-10,18.34,0.0239,0.0373,0.1095
69,2022-03-11,18.41,0.0135,0.0431,0.0955
70,2022-03-12,18.14,0.0088,0.0025,0.0735
71,2022-03-13,18.57,0.0346,0.0053,0.1009
72,2022-03-14,17.7,0.0175,0.0816,0.0649
73,2022-03-15,19.41,0.0048,0.0588,0.0342
74,2022-03-16,17.91,0.0167,0.0651,0.0381
75,2022-03-17,18.51,0.0985,0.0974,0.1387
76,2022-03-18,18.36,0.0537,0.0659,0.0574
77,2022-03-19,19.73,0.0644,0.0753,0.1299
78,2022-03-20,18.84,0.0302,0.081,0.0602
79,2022-03-21,19.94,0.0813,0.0444,0.1377
80,2022-03-22,19.2,0.002,0.0088,0.095
81,2022-03-23,19.56,0.081,0.0888,0.0935
82,2022-03-24,18.57,0.0088,0.0579,0.0989
83,2022-03-25,19.92,0.0976,0.0046,0.0706
84,2022-03-26,20.16,0.0601,0.0219,0.0388
85,2022-03-27,18.87,0.0309,0.0369,0.0521
86,2022-03-28,19.07,0.07,0.0364,0.0588
87,2022-03-29,19.16,0.0192,0.0529,0.0434
88,2022-03-30,19.95,0.0247,0.0562,0.0926
89,2022-03-31,19.11,0.0902,0.0697,0.1305
90,2022-04-01,18.54,0.0741,0.013,0.0843
