day,date,Synthetic_Short_Interest_Pct,News_Sentiment_Index,Retail_Hype_Index,Price_Action_Volatility
0,2022-01-01,15.34,0.0082,0.0445,0.0773
1,2022-01-02,14.43,0.0396,0.0579,0.1334
2,2022-01-03,15.03,0.0644,0.0111,0.0677
3,2022-01-04,15.13,0.0297,0.076,0.1303
4,2022-01-05,14.73,0.0632,0.0393,0.0592
5,2022-01-06,15.32,0.0516,0.0396,0.0583
6,2022-01-07,14.57,0.0762,0.0709,0.1013
7,2022-01-08,16.1,0.0437,0.0329,0.1278
8,2022-01-09,14.46,0.0897,0.0686,0.0883
9,2022-01-10,15.3,0.0942,0.0083,0.0568
10,2022-01-11,14.51,0.0366,0.0296,0.0799
11,2022-01-12,14.56,0.0623,0.0682,0.0725
12,2022-01-13,16.0,0.0987,0.0817,0.1488
13,2022-01-14,15.37,0.0053,0.0547,0.0492
14,2022-01-15,16.45,0.072,0.0466,0.075
15,2022-01-16,15.74,0.0705,0.0969,0.0915
16,2022-01-17,16.0,0.0198,0.0103,0.0695
17,2022-01-18,16.08,0.006,0.009,0.0415
18,2022-01-19,15.36,0.0701,0.0727,0.0731
19,2022-01-20,15.21,0.0967,0.0045,0.0998
20,2022-01-21,15.21,0.0036,0.087,0.0649
21,2022-01-22,15.59,0.0665,0.0912,0.0892
22,2022-01-23,15.72,0.0786,0.0098,0.0584
23,2022-01-24,15.75,0.0271,0.0907,0.1302
24,2022-01-25,15.87,0.0397,0.0503,0.1233
25,2022-01-26,16.29,0.0018,0.097,0.1201
26,2022-01-27,15.95,0.0255,0.0115,0.1014
27,2022-01-28,16.98,0.0085,0.0789,0.102
28,2022-01-29,15.61,0.0427,0.0277,0.0911
29,2022-01-30,15.65,0.001,0.0544,0.0356
30,2022-01-31,16.79,0.0505,0.0372,0.1045
31,2022-02-01,17.05,0.0527,0.0502,0.0572
32,2022-02-02,16.69,0.0079,0.0037,0.0073
33,2022-02-03,17.31,0.0855,0.0598,0.1463
34,2022-02-04,17.0,0.0912,0.0616,0.0806
35,2022-02-05,16.95,0.0967,0.0336,0.1087
36,2022-02-06,17.72,0.0177,0.0266,0.0258
37,2022-02-07,17.08,0.0188,0.0684,0.0673
38,2022-02-08,16.05,0.0389,0.0509,0.1254
39,2022-02-09,16.71,0.0828,0.0246,0.0907
40,2022-02-10,16.39,0.0612,0.0055,0.096
41,2022-02-11,17.74,0.0088,0.0606,0.0588
42,2022-02-12,17.58,0.061,0.0337,0.0865
43,2022-02-13,16.6,0.029,0.0786,0.1037
44,2022-02-14,17.66,0.0476,0.0577,0.1302
45,2022-02-15,17.49,0.0678,0.0081,0.0391
46,2022-02-16,16.68,0.0801,0.0249,0.1348
47,2022-02-17,17.26,0.0473,0.0834,0.1314
48,2022-02-18,17.71,0.0998,0.0206,0.1117
49,2022-02-19,17.18,0.0736,0.0716,0.1544
50,2022-02-20,17.76,0.0443,0.0548,0.1083
51,2022-02-21,17.29,0.0556,0.0871,0.0613
52,2022-02-22,16.7,0.0027,0.0876,0.111
53,2022-02-23,16.91,0.0831,0.0884,0.1638
54,2022-02-24,18.31,0.0697,0.0073,0.1286
55,2022-02-25,18.42,0.0518,0.0278,0.0451
56,2022-02-26,18.04,0.06,0.0331,0.0889
57,2022-02-27,18.39,0.0792,0.0188,0.0924
58,2022-02-28,17.95,0.003,0.016,0.102
59,2022-03-01,18.56,0.0048,0.0922,0.0462
60,2022-03-02,18.52,0.0738,0.0698,0.0834
61,2022-03-03,17.63,0.0346,0.0772,0.1339
62,2022-03-04,17.31,0.0196,0.0711,0.0854
63,2022-03-05,18.31,0.0997,0.0914,0.1633
64,2022-03-06,17.93,0.0623,0.0205,0.0792
65,2022-03-07,19.16,0.0268,0.0227,0.1138
66,2022-03-08,17.67,0.0822,0.0295,0.0973
67,2022-03-09,18.31,0.0515,0.0161,0.1267
68,2022-03-10,18.59,0.0242,0.0411,0.0439
69,2022-03-11,18.03,0.0747,0.0551,0.1092
70,2022-03-12,18.54,0.0634,0.0694,0.1357
71,2022-03-13,18.98,0.0454,0.0101,0.0995
72,2022-03-14,17.85,0.0313,0.0215,0.1166
73,2022-03-15,18.58,0.018,0.0014,0.0428
74,2022-03-16,17.9,0.0085,0.0642,0.0629
75,2022-03-17,19.41,0.065,0.0547,0.0627
76,2022-03-18,18.26,0.0906,0.0243,0.0827
77,2022-03-19,19.58,0.0275,0.0218,0.1061
78,2022-03-20,19.1,0.0158,0.0706,0.134
79,2022-03-21,19.52,0.0602,0.0341,0.1364
80,2022-03-22,19.02,0.0889,0.0788,0.0835
81,2022-03-23,19.08,0.0507,0.0016,0.0611
82,2022-03-24,19.38,0.0073,0.0141,0.0774
83,2022-03-25,18.84,0.0003,0.0189,0.0348
84,2022-03-26,19.89,0.0751,0.0183,0.1102
85,2022-03-27,20.01,0.0572,0.0425,0.1217
86,2022-03-28,18.8,0.0804,0.0614,0.1433
