day,date,Synthetic_Short_Interest_Pct,News_Sentiment_Index,Retail_Hype_Index,Price_Action_Volatility
0,2022-01-01,15.82,0.0583,0.0041,0.0644
1,2022-01-02,15.49,0.0344,0.0791,0.1002
2,2022-01-03,15.93,0.0683,0.0606,0.1252
3,2022-01-04,14.25,0.0684,0.0615,0.1051
4,2022-01-05,15.66,0.029,0.0723,0.1387
5,2022-01-06,14.63,0.0903,0.0183,0.1027
6,2022-01-07,15.48,0.0357,0.0536,0.0796
7,2022-01-08,15.78,0.0887,0.0838,0.1611
8,2022-01-09,15.14,0.0532,0.0766,0.1511
9,2022-01-10,15.91,0.0102,0.0633,0.0321
10,2022-01-11,16.05,0.0362,0.0858,0.054
11,2022-01-12,14.4,0.0721,0.0137,0.0418
12,2022-01-13,15.42,0.0407,0.061,0.1304
13,2022-01-14,16.12,0.0453,0.0237,0.0858
14,2022-01-15,16.33,0.0052,0.071,0.0885
15,2022-01-16,16.28,0.0527,0.0904,0.0929
16,2022-01-17,15.77,0.0636,0.0278,0.1331
17,2022-01-18,15.48,0.0005,0.0239,0.0319
18,2022-01-19,16.37,0.0856,0.0462,0.0755
19,2022-01-20,15.75,0.0882,0.0911,0.1415
20,2022-01-21,14.89,0.0266,0.0554,0.0943
21,2022-01-22,16.45,0.0953,0.0681,0.0972
22,2022-01-23,15.74,0.0409,0.0468,0.0601
23,2022-01-24,16.36,0.004,0.0427,0.0436
24,2022-01-25,15.69,0.011,0.0342,0.0614
25,2022-01-26,16.52,0.0737,0.0413,0.0695
26,2022-01-27,15.0,0.0685,0.0049,0.0852
27,2022-01-28,15.23,0.0703,0.0278,0.0816
28,2022-01-29,15.18,0.0236,0.0067,0.0747
29,2022-01-30,16.18,0.0833,0.0226,0.1005
30,2022-01-31,15.56,0.0011,0.0244,0.0902
31,2022-02-01,15.83,0.0687,0.0956,0.1221
32,2022-02-02,15.27,0.0297,0.0252,0.0986
33,2022-02-03,16.6,0.0488,0.0883,0.075
34,2022-02-04,15.48,0.0449,0.0139,0.0828
35,2022-02-05,15.68,0.0138,0.0316,0.0543
36,2022-02-06,15.35,0.0287,0.081,0.0471
37,2022-02-07,16.41,0.0163,0.0545,0.0607
38,2022-02-08,16.63,0.0276,0.0713,0.0572
39,2022-02-09,17.01,0.0264,0.0116,0.1053
40,2022-02-10,16.24,0.0581,0.0753,0.0992
41,2022-02-11,16.85,0.0743,0.0752,0.1239
42,2022-02-12,17.23,0.0645,0.0131,0.1178
43,2022-02-13,15.8,0.0967,0.0761,0.0889
44,2022-02-14,16.04,0.0271,0.0822,0.0545
45,2022-02-15,16.38,0.0336,0.0873,0.1049
46,2022-02-16,16.75,0.0983,0.015,0.1297
47,2022-02-17,17.38,0.0977,0.0676,0.0814
48,2022-02-18,15.73,0.0911,0.0801,0.1451
49,2022-02-19,16.01,0.0171,0.0218,0.0452
50,2022-02-20,15.79,0.0621,0.0478,0.1366
51,2022-02-21,17.32,0.0054,0.0686,0.0421
52,2022-02-22,16.79,0.0862,0.0868,0.1426
53,2022-02-23,16.02,0.0152,0.0447,0.0292
54,2022-02-24,16.31,0.0034,0.0288,0.104
55,2022-02-25,17.86,0.0652,0.0155,0.0511
56,2022-02-26,16.05,0.0609,0.024,0.1215
57,2022-02-27,16.82,0.0504,0.0419,0.0869
58,2022-02-28,17.98,0.0904,0.0232,0.0889
59,2022-03-01,17.29,0.0007,0.0436,0.019
60,2022-03-02,16.09,0.0738,0.0214,0.1144
61,2022-03-03,16.11,0.0044,0.0042,0.0775
62,2022-03-04,16.84,0.063,0.0157,0.0586
63,2022-03-05,17.56,0.0584,0.0006,0.0635
64,2022-03-06,16.38,0.0506,0.0623,0.1201
65,2022-03-07,16.62,0.0702,0.0257,0.1187
66,2022-03-08,17.32,0.0222,0.0999,0.1326
67,2022-03-09,17.06,0.0771,0.0807,0.1512
68,2022-03-10,16.88,0.0106,0.011,0.0093
69,2022-03-11,17.79,0.0027,0.0729,0.0462
70,2022-03-12,16.51,0.0052,0.0794,0.0657
71,2022-03-13,17.51,0.0972,0.0072,0.1313
72,2022-03-14,16.58,0.0501,0.0398,0.0545
73,2022-03-15,16.8,0.0373,0.0474,0.1237
74,2022-03-16,16.69,0.0239,0.0651,0.1262
75,2022-03-17,18.16,0.0313,0.0958,0.1478
76,2022-03-18,18.59,0.0661,0.0687,0.086
77,2022-03-19,17.02,0.0898,0.005,0.0961
78,2022-03-20,17.7,0.0902,0.0689,0.1006
79,2022-03-21,17.85,0.045,0.0625,0.0897
80,2022-03-22,17.42,0.0473,0.096,0.0962
81,2022-03-23,17.26,0.0282,0.0109,0.0174
82,2022-03-24,17.61,0.0426,0.0035,0.0897
83,2022-03-25,17.88,0.0666,0.0974,0.1155
84,2022-03-26,17.57,0.0898,0.0457,0.0933
85,2022-03-27,17.82,0.0596,0.0417,0.1298
86,2022-03-28,18.2,0.0344,0.0514,0.0967
87,2022-03-29,17.14,0.0253,0.0596,0.0747
88,2022-03-30,17.95,0.0198,0.0539,0.0384
89,2022-03-31,17.62,0.0075,0.0162,0.0297
90,2022-04-01,17.6,0.0062,0.0245,0.0226
91,2022-04-02,17.59,0.0251,0.0936,0.1375
92,2022-04-03,18.19,0.0031,0.0774,0.0444
93,2022-04-04,19.2,0.0428,0.08,0.0583
94,2022-04-05,18.99,0.0362,0.0094,0.1
95,2022-04-06,17.29,0.075,0.0866,0.0769
96,2022-04-07,18.21,0.0534,0.0755,0.0959
97,2022-04-08,18.87,0.0031,0.0725,0.078
98,2022-04-09,17.82,0.0077,0.0318,0.0266
99,2022-04-10,18.42,0.0452,0.0596,0.0462
100,2022-04-11,17.76,0.0772,0.0319,0.0986
101,2022-04-12,18.75,0.0954,0.0937,0.1703
102,2022-04-13,19.07,0.0168,0.0924,0.1194
103,2022-04-14,18.93,0.0896,0.0435,0.0836
104,2022-04-15,19.2,0.0252,0.006,0.0214
105,2022-04-16,18.26,0.0893,0.0117,0.1022
106,2022-04-17,19.29,0.0847,0.0522,0.1465
107,2022-04-18,18.37,0.0286,0.0799,0.0957
108,2022-04-19,19.16,0.0938,0.0352,0.1259
109,2022-04-20,19.37,0.0323,0.0191,0.111
110,2022-04-21,19.73,0.0717,0.0602,0.092
111,2022-04-22,18.11,0.0621,0.0355,0.0528
112,2022-04-23,17.95,0.0133,0.0387,0.0638
113,2022-04-24,19.17,0.0183,0.0655,0.0701
114,2022-04-25,18.85,0.034,0.0092,0.0473
115,2022-04-26,18.19,0.0395,0.0755,0.0694
116,2022-04-27,18.56,0.0587,0.0964,0.1305
117,2022-04-28,18.81,0.0056,0.0681,0.0374
118,2022-04-29,18.7,0.0359,0.0376,0.0843
119,2022-04-30,19.59,0.01,0.0479,0.0405
120,2022-05-01,19.66,0.0637,0.0736,0.15
121,2022-05-02,18.47,0.0806,0.0669,0.1115
122,2022-05-03,18.23,0.0601,0.0801,0.0644
123,2022-05-04,18.43,0.0687,0.079,0.1093
124,2022-05-05,20.15,0.09,0.0858,0.1175
125,2022-05-06,19.23,0.0039,0.0736,0.1026
126,2022-05-07,18.9,0.0855,0.0492,0.064
127,2022-05-08,19.41,0.0792,0.0406,0.0905
128,2022-05-09,19.91,0.0396,0.0376,0.0644
129,2022-05-10,18.92,0.0793,0.0697,0.0994
130,2022-05-11,20.19,0.0753,0.0348,0.0655
131,2022-05-12,19.38,0.0057,0.0236,0.0308
132,2022-05-13,20.14,0.0951,0.0916,0.1539
133,2022-05-14,20.34,0.0962,0.0443,0.0783
134,2022-05-15,20.32,0.022,0.035,0.1195
135,2022-05-16,20.06,0.038,0.02,0.1012
136,2022-05-17,19.41,0.0727,0.0841,0.1067
137,2022-05-18,19.04,0.0661,0.06,0.0548
138,2022-05-19,20.43,0.0896,0.0653,0.1092
139,2022-05-20,19.49,0.0546,0.0781,0.0876
140,2022-05-21,20.24,0.0884,0.0302,0.0498
141,2022-05-22,20.85,0.089,0.0323,0.1008
142,2022-05-23,20.62,0.0626,0.0928,0.1311
143,2022-05-24,20.81,0.0798,0.0905,0.1449
144,2022-05-25,19.97,0.0292,0.029,0.1136
145,2022-05-26,19.61,0.0391,0.0376,0.085
146,2022-05-27,19.88,0.0827,0.0879,0.084
147,2022-05-28,19.41,0.0239,0.0362,0.0851
148,2022-05-29,19.15,0.0843,0.0602,0.1035
149,2022-05-30,20.04,0.031,0.0092,0.1008
150,2022-05-31,20.22,0.0338,0.064,0.1308
151,2022-06-01,19.25,0.0264,0.0666,0.0796
152,2022-06-02,20.42,0.0988,0.0556,0.1082
153,2022-06-03,20.54,0.0463,0.0325,0.1242
154,2022-06-04,20.54,0.0904,0.0271,0.051
155,2022-06-05,21.07,0.0465,0.0451,0.1014
156,2022-06-06,19.47,0.0989,0.0782,0.1568
157,2022-06-07,21.26,0.0668,0.0384,0.0723
158,2022-06-08,20.03,0.0717,0.0573,0.0709
159,2022-06-09,20.43,0.093,0.038,0.0573
160,2022-06-10,21.05,0.0201,0.0122,0.1031
161,2022-06-11,20.81,0.0619,0.0378,0.0995
162,2022-06-12,20.48,0.0358,0.0682,0.0755
163,2022-06-13,21.34,0.0582,0.0216,0.0697
164,2022-06-14,19.88,0.062,0.0105,0.0865
165,2022-06-15,20.4,0.0353,0.0595,0.072
166,2022-06-16,20.44,0.0445,0.0162,0.038
167,2022-06-17,20.84,0.0762,0.0502,0.1472
168,2022-06-18,20.62,0.0332,0.0725,0.0929
169,2022-06-19,21.55,0.0655,0.0701,0.1211
170,2022-06-20,20.4,0.0299,0.0678,0.0976
171,2022-06-21,20.21,0.0458,0.0468,0.1362
172,2022-06-22,20.91,0.0123,0.0887,0.0756
173,2022-06-23,21.2,0.0221,0.0993,0.0532
