day,date,Synthetic_Short_Interest_Pct,News_Sentiment_Index,Retail_Hype_Index,Price_Action_Volatility
0,2022-01-01,15.01,0.0426,0.0248,0.1114
1,2022-01-02,14.36,0.0069,0.0861,0.0383
2,2022-01-03,15.97,0.0573,0.0779,0.0569
3,2022-01-04,15.05,0.0972,0.0551,0.1456
4,2022-01-05,14.96,0.0016,0.0171,0.0431
5,2022-01-06,15.65,0.0197,0.0992,0.1117
6,2022-01-07,15.75,0.0719,0.0326,0.0809
7,2022-01-08,16.18,0.0526,0.0482,0.0985
8,2022-01-09,15.59,0.0671,0.0532,0.1378
9,2022-01-10,15.41,0.0424,0.076,0.1048
10,2022-01-11,14.7,0.0452,0.0502,0.0691
11,2022-01-12,14.65,0.0601,0.0801,0.0677
12,2022-01-13,15.71,0.0353,0.032,0.0669
13,2022-01-14,14.72,0.0685,0.0598,0.058
14,2022-01-15,16.15,0.0652,0.0854,0.0845
15,2022-01-16,16.21,0.0562,0.086,0.143
16,2022-01-17,16.48,0.0129,0.062,0.095
17,2022-01-18,16.36,0.0176,0.0504,0.0819
18,2022-01-19,15.25,0.0812,0.0234,0.0583
19,2022-01-20,15.03,0.0467,0.0482,0.1138
20,2022-01-21,16.43,0.072,0.0744,0.0784
21,2022-01-22,16.81,0.0225,0.0763,0.0994
22,2022-01-23,15.93,0.0041,0.0896,0.1229
23,2022-01-24,15.41,0.0304,0.0631,0.105
24,2022-01-25,15.3,0.0725,0.0451,0.0718
25,2022-01-26,16.94,0.0045,0.0875,0.1298
26,2022-01-27,15.89,0.0817,0.0536,0.0944
27,2022-01-28,16.46,0.0739,0.0248,0.1277
28,2022-01-29,16.64,0.0965,0.0136,0.1194
29,2022-01-30,15.62,0.0032,0.0288,0.0546
30,2022-01-31,16.37,0.0621,0.0044,0.0397
31,2022-02-01,15.93,0.0723,0.0819,0.0831
32,2022-02-02,16.2,0.0338,0.0251,0.0361
33,2022-02-03,16.63,0.035,0.0272,0.0919
34,2022-02-04,15.95,0.0379,0.0479,0.1262
35,2022-02-05,16.18,0.049,0.0779,0.0986
36,2022-02-06,16.6,0.0975,0.0408,0.1406
37,2022-02-07,16.6,0.0176,0.0709,0.0946
38,2022-02-08,15.81,0.0894,0.0149,0.103
39,2022-02-09,17.7,0.0972,0.0351,0.0668
40,2022-02-10,16.23,0.0552,0.021,0.1109
41,2022-02-11,17.21,0.0799,0.0927,0.0834
42,2022-02-12,17.52,0.0153,0.0058,0.0459
43,2022-02-13,16.03,0.0112,0.0135,0.087
44,2022-02-14,16.0,0.0809,0.0562,0.1419
45,2022-02-15,16.98,0.0601,0.0837,0.1198
46,2022-02-16,17.85,0.0156,0.0415,0.043
47,2022-02-17,17.12,0.0203,0.0026,0.0556
48,2022-02-18,16.22,0.0015,0.0501,0.0976
49,2022-02-19,16.43,0.0798,0.0584,0.1548
50,2022-02-20,17.27,0.0205,0.0157,0.0355
51,2022-02-21,17.19,0.022,0.097,0.0869
52,2022-02-22,18.09,0.0971,0.0755,0.0731
53,2022-02-23,16.6,0.083,0.0298,0.0604
54,2022-02-24,17.55,0.0028,0.0324,0.0305
55,2022-02-25,18.01,0.0388,0.0027,0.0849
